chain,sample,tissue,histological site, lengthMean, nReads_covering_median
IGH,G59487.GTEX-ZVT3-2826.2,Colon - Sigmoid,Colon,16.8571428571,1.0
IGH,G19446.GTEX-S95S-0005-SM-2XCEC.1,Whole Blood,Blood,15.0895522388,1.0
IGH,G53802.GTEX-11ZUS-0011-R8a.2,Brain - Hypothalamus,Brain,14.6666666667,1.0
IGH,G39755.GTEX-V1D1-1926-SM-4JBGX.1,Prostate,Prostate,14.5,1.0
IGH,G62894.GTEX-131YS-0726.3,Thyroid,Thyroid,16.2404692082,1.0
IGH,G63135.GTEX-YEC4-0926.2,Adipose - Visceral (Omentum),Adipose Tissue,16.2702702703,1.0
IGH,G60344.GTEX-13O1R-1226.2,Heart - Left Ventricle,Heart,17.0,1.0
IGH,G41191.GTEX-WQUQ-0126.5,Adrenal Gland,Adrenal Gland,14.44,1.0
IGH,G26530.GTEX-S7PM-0011-R6A-SM-3NM8F.1,Brain - Nucleus accumbens (basal ganglia),Brain,15.4285714286,1.0
IGH,G46753.GTEX-Y5V6-0003.1,Cells - EBV-transformed lymphocytes,Blood,16.2790697674,1.0
IGH,G26618.GTEX-WYVS-1726-SM-3NMAY.1,Breast - Mammary Tissue,Breast,16.1242009132,1.0
IGH,G53118.GTEX-11LCK-2026.3,Colon - Transverse,Colon,15.1108333333,1.0
IGH,G22969.GTEX-U412-0326-SM-3DB9L.1,Muscle - Skeletal,Muscle,15.0,1.0
IGH,G62807.GTEX-13OW7-0011-R4b.3,Brain - Amygdala,Brain,nan,nan
IGH,G16745.GTEX-OXRN-0526.3,Lung,Lung,15.2842105263,1.0
IGH,G32374.GTEX-QESD-0226-SM-447BH.2,Pancreas,Pancreas,15.1428571429,1.0
IGH,G41173.GTEX-WHWD-0726.4,Pancreas,Pancreas,15.05,1.0
IGH,G35546.GTEX-U8XE-0226-SM-4E3J3.4,Skin - Not Sun Exposed (Suprapubic),Skin,15.2,1.0
IGH,G41610.GTEX-WYVS-1826.1,Colon - Transverse,Colon,15.7314814815,1.0
IGH,G61187.GTEX-YJ8O-2226.3,Breast - Mammary Tissue,Breast,15.75,1.0
IGH,G62259.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,11.0,1.0
IGH,G26774.GTEX-PLZ6-0726-SM-3P619.2,Pancreas,Pancreas,16.6923076923,1.0
IGH,G62629.GTEX-14753-0426.2,Skin - Sun Exposed (Lower leg),Skin,14.8,1.0
IGH,G25953.K-562-SM-3NB3I.2,Cells - Leukemia cell line (CML),Bone Marrow,15.0,1.0
IGH,G23317.GTEX-RNOR-0011-R4A-SM-3GAD3.1,Brain - Amygdala,Brain,nan,nan
IGH,G25892.GTEX-OOBJ-1526-SM-3NB1Q.2,Stomach,Stomach,15.3029166667,1.0
IGH,G34289.GTEX-XK95-0226-SM-4AT58.2,Skin - Not Sun Exposed (Suprapubic),Skin,14.6,1.0
IGH,G48855.GTEX-ZEX8-0004.1,Cells - EBV-transformed lymphocytes,Blood,15.9777777778,1.0
IGH,G16565.GTEX-OIZH-2626.3,Thyroid,Thyroid,15.6071428571,1.0
IGH,G62663.GTEX-ZTPG-0426.2,Artery - Tibial,Blood Vessel,12.4285714286,1.0
IGH,G39736.K-562-SM-4JBIQ.1,Cells - Leukemia cell line (CML),Bone Marrow,15.75,1.0
IGH,G41009.GTEX-WH7G-1026-SM-4LVML.3,Esophagus - Muscularis,Esophagus,14.8181818182,1.0
IGH,G62003.GTEX-13FXS-3026.2,Brain - Cerebellum,Brain,nan,nan
IGH,G25655.GTEX-WL46-0011-R9A-SM-3MJFP.1,Brain - Spinal cord (cervical c-1),Brain,12.25,1.0
IGH,G60602.GTEX-139UW-0226.2,Lung,Lung,15.9195652174,1.0
IGH,G59191.GTEX-12C56-1226.3,Esophagus - Mucosa,Esophagus,15.211663067,1.0
IGH,G62909.GTEX-13OVJ-0011-R4b.3,Brain - Amygdala,Brain,14.0,1.0
IGH,G65106.GTEX-11OF3-0008.2,Cells - Transformed fibroblasts,Skin,nan,nan
IGH,G34388.GTEX-XMK1-0008-SM-4GICF.2,Cells - Transformed fibroblasts,Skin,17.0,1.0
IGH,G26651.GTEX-WHSE-0006-SM-3NMBW.1,Whole Blood,Blood,15.8012295082,1.0
IGH,G59806.GTEX-11NUK-0826.2,Lung,Lung,15.9080996885,1.0
IGH,G65673.GTEX-145LU-0011-R6a.2,Brain - Nucleus accumbens (basal ganglia),Brain,nan,nan
IGH,G64151.GTEX-13X6K-0226.1,Adipose - Subcutaneous,Adipose Tissue,16.8852459016,2.0
IGH,G32770.GTEX-X5EB-1126-SM-46MVV.2,Colon - Sigmoid,Colon,15.6779026217,1.0
IGH,G46919.GTEX-Y9LG-1126.1,Skin - Not Sun Exposed (Suprapubic),Skin,14.25,1.0
IGH,G23369.GTEX-UPK5-0426-SM-3GAEK.1,Skin - Not Sun Exposed (Suprapubic),Skin,14.7333333333,1.0
IGH,G64012.GTEX-145MH-3026.1,Brain - Cortex,Brain,14.6666666667,1.0
IGH,G33697.GTEX-REY6-2426-SM-48FF5.4,Breast - Mammary Tissue,Breast,17.8333333333,1.0
IGH,G60664.GTEX-13FHO-0011-R1b.2,Brain - Hippocampus,Brain,13.3333333333,1.0
IGH,G42470.GTEX-QEG4-0926.2,Artery - Aorta,Blood Vessel,15.6,1.0
IGH,G59345.GTEX-12WSJ-0226.2,Lung,Lung,16.2952380952,1.0
IGH,G62246.GTEX-13X6I-1426.2,Heart - Left Ventricle,Heart,14.9411764706,1.0
IGH,G59807.GTEX-11NUK-0926.2,Heart - Atrial Appendage,Heart,15.0,1.0
IGH,G61888.GTEX-13111-0626.2,Adipose - Visceral (Omentum),Adipose Tissue,15.2444444444,1.0
IGH,G33675.GTEX-R55G-0226-SM-48FEI.4,Spleen,Spleen,15.3609805238,1.0
IGH,G65666.GTEX-13QJC-0011-R1b.2,Brain - Hippocampus,Brain,17.0,1.0
IGH,G19304.GTEX-S341-2026-SM-2XCAA.1,Artery - Tibial,Blood Vessel,nan,nan
IGH,G62710.GTEX-145LT-0626.2,Prostate,Prostate,15.9583333333,1.0
IGH,G33839.GTEX-QCQG-1426-SM-48U22.3,Ovary,Ovary,15.8260869565,1.0
IGH,G32826.GTEX-X585-0011-R10A-SM-46MUY.2,Brain - Frontal Cortex (BA9),Brain,14.6666666667,1.0
IGH,G62887.GTEX-132QS-1126.3,Prostate,Prostate,15.6734693878,1.0
IGH,G34245.GTEX-S7SF-1926-SM-4AT5B.2,Colon - Transverse,Colon,15.1670103093,1.0
IGH,G23345.GTEX-UPJH-0226-SM-3GADV.1,Skin - Not Sun Exposed (Suprapubic),Skin,14.0,1.0
IGH,G64007.GTEX-146FR-1726.1,Muscle - Skeletal,Muscle,18.0,1.0
IGH,G33631.GTEX-RM2N-0326-SM-48FD8.4,Pancreas,Pancreas,16.3636363636,1.0
IGH,G33652.GTEX-REY6-1126-SM-48FDU.4,Artery - Aorta,Blood Vessel,16.6315789474,1.0
IGH,G58399.GTEX-11EMC-3126.2,Pituitary,Pituitary,15.7473684211,1.0
IGH,G60408.GTEX-13NYS-1626.3,Lung,Lung,15.7161572052,1.0
IGH,G42483.GTEX-QLQ7-0326.2,Artery - Coronary,Blood Vessel,16.1499448732,1.0
IGH,G62164.GTEX-11GS4-0006.2,Whole Blood,Blood,15.6372180451,1.0
IGH,G34684.GTEX-SIU7-1526-SM-4BRWQ.1,Testis,Testis,15.7142857143,1.0
IGH,G25911.GTEX-QMRM-0005-SM-3NB2A.2,Whole Blood,Blood,15.6603773585,1.0
IGH,G65261.GTEX-145ME-0426.2,Esophagus - Gastroesophageal Junction,Esophagus,15.5236907731,1.0
IGH,G25686.GTEX-OHPK-1526-SM-3MJGM.1,Stomach,Stomach,15.7522255193,1.0
IGH,G33859.GTEX-NPJ8-0226-SM-48TBN.2,Adipose - Subcutaneous,Adipose Tissue,17.375,1.0
IGH,G61873.GTEX-148VJ-0826.2,Lung,Lung,16.4406779661,1.0
IGH,G48888.GTEX-ZF29-0226.1,Heart - Left Ventricle,Heart,15.4318181818,1.0
IGH,G33684.GTEX-R55G-1526-SM-48FER.4,Ovary,Ovary,14.6666666667,1.0
IGH,G23451.GTEX-UTHO-0011-R2A-SM-3GIKC.1,Brain - Substantia nigra,Brain,13.3333333333,1.0
IGH,G60114.GTEX-13N2G-1226.2,Esophagus - Mucosa,Esophagus,16.1176470588,1.0
IGH,G35618.GTEX-ZLWG-0008.4,Cells - Transformed fibroblasts,Skin,13.0,1.0
IGH,G59321.GTEX-12WSN-0926.2,Adrenal Gland,Adrenal Gland,14.0,1.0
IGH,G26542.GTEX-S4P3-0008-SM-3NM8R.1,Cells - Transformed fibroblasts,Skin,12.6666666667,1.0
IGH,G25184.GTEX-WL46-2026-SM-3LK7U.1,Adipose - Visceral (Omentum),Adipose Tissue,15.8636363636,2.0
IGH,G65598.GTEX-145LU-0011-R9b.3,Brain - Spinal cord (cervical c-1),Brain,18.5,1.0
IGH,G62463.GTEX-1212Z-0006.2,Whole Blood,Blood,15.8802816901,1.0
IGH,G63069.GTEX-132NY-1226.2,Lung,Lung,15.79,1.0
IGH,G38939.GTEX-QDVN-0126-SM-4GIC9.2,Artery - Coronary,Blood Vessel,16.4782608696,1.0
IGH,G62134.GTEX-13N2G-0011-R3b.2,Brain - Anterior cingulate cortex (BA24),Brain,nan,nan
IGH,G62801.GTEX-13RTJ-0011-R8b.3,Brain - Hypothalamus,Brain,16.0,1.0
IGH,G26657.GTEX-X261-3226-SM-3NMC3.1,Pituitary,Pituitary,15.0,1.0
IGH,G59306.GTEX-12WSD-0826.2,Lung,Lung,15.7139037433,1.0
IGH,G63202.GTEX-13QIC-0011-R4a.2,Brain - Amygdala,Brain,13.3333333333,1.0
IGH,G62933.GTEX-11EQ8-0006.3,Whole Blood,Blood,15.7146503318,1.0
IGH,G18591.GTEX-RM2N-0526-SM-2TF4N.1,Thyroid,Thyroid,16.2666666667,1.0
IGH,G40907.GTEX-WEY5-1226-SM-4LMIQ.3,Stomach,Stomach,15.2610619469,1.0
IGH,G62384.GTEX-111CU-1526.2,Prostate,Prostate,14.8333333333,1.0
IGH,G62142.GTEX-13NYS-0011-R8a.2,Brain - Hypothalamus,Brain,14.5,1.0
IGH,G33828.GTEX-Q2AG-0926-SM-48U1Q.3,Artery - Aorta,Blood Vessel,14.4,1.0
IGH,G39678.GTEX-XMK1-1126-SM-4IHJ8.2,Breast - Mammary Tissue,Breast,17.1666666667,1.0
IGH,G48845.GTEX-UPJH-0826.1,Lung,Lung,15.6304347826,1.0
IGH,G64419.GTEX-14BMV-2226.1,Stomach,Stomach,15.3428571429,1.0
IGH,G46758.GTEX-Y5V6-0008.1,Cells - Transformed fibroblasts,Skin,15.5,1.0
IGH,G64000.GTEX-146FH-2626.1,Vagina,Vagina,15.3992805755,1.0
IGH,G25639.GTEX-WRHK-1426-SM-3MJF9.1,Skin - Sun Exposed (Lower leg),Skin,16.0,1.5
IGH,G64418.GTEX-14BMV-0326.1,Muscle - Skeletal,Muscle,15.6666666667,1.0
IGH,G26682.GTEX-P4QT-1526-SM-3NMCT.1,Stomach,Stomach,16.4444444444,1.0
IGH,G59573.GTEX-11P7K-2226.2,Nerve - Tibial,Nerve,18.4,1.0
IGH,G48934.GTEX-ZEX8-2426.1,Skin - Sun Exposed (Lower leg),Skin,14.6875,1.0
IGH,G62248.GTEX-13X6I-1826.2,Skin - Not Sun Exposed (Suprapubic),Skin,15.3265306122,1.0
IGH,G62159.GTEX-13OVH-3026.2,Brain - Cortex,Brain,nan,nan
IGH,G26642.GTEX-WH7G-2226-SM-3NMBN.1,Adipose - Subcutaneous,Adipose Tissue,16.3,1.0
IGH,G41181.GTEX-WI4N-2026.5,Kidney - Cortex,Kidney,15.5,1.0
IGH,G60155.GTEX-13OVI-1926.2,Small Intestine - Terminal Ileum,Small Intestine,15.0,1.0
IGH,G65132.GTEX-13SLW-0226.2,Adipose - Subcutaneous,Adipose Tissue,14.4285714286,1.0
IGH,G25878.GTEX-OOBJ-1826-SM-3NB1C.2,Artery - Tibial,Blood Vessel,17.0,1.5
IGH,G35333.GTEX-U4B1-1426-SM-4DXTX.7,Prostate,Prostate,15.2945736434,1.0
IGH,G26660.GTEX-WZTO-0011-R3B-SM-3NMC6.1,Brain - Anterior cingulate cortex (BA24),Brain,16.75,1.0
IGH,G59156.GTEX-11XUK-0226.6,Thyroid,Thyroid,16.401578354,1.0
IGH,G61880.GTEX-139TU-0006.2,Whole Blood,Blood,15.5754716981,1.0
IGH,G45215.GTEX-Z93S-0011-R6b.2,Brain - Nucleus accumbens (basal ganglia),Brain,nan,nan
IGH,G61894.GTEX-12ZZY-0126.2,Testis,Testis,12.5,1.0
IGH,G33810.GTEX-Q734-1026-SM-48U16.3,Stomach,Stomach,15.4767321613,1.0
IGH,G46448.GTEX-Y3I4-0326.1,Artery - Aorta,Blood Vessel,15.9891891892,1.0
IGH,G23337.GTEX-T5JW-1726-SM-3GADN.1,Adipose - Subcutaneous,Adipose Tissue,14.75,2.0
IGH,G48926.GTEX-ZF2S-1826.1,Colon - Sigmoid,Colon,14.2,1.0
IGH,G62208.GTEX-145MI-0826.2,Adipose - Visceral (Omentum),Adipose Tissue,16.2222222222,1.0
IGH,G19383.GTEX-S4Z8-2026-SM-3K2A9.1,Artery - Tibial,Blood Vessel,15.6666666667,2.0
IGH,G65699.GTEX-147JS-2626.2,Colon - Sigmoid,Colon,14.0769230769,1.0
IGH,G61975.GTEX-132QS-0005.2,Whole Blood,Blood,15.0535714286,1.0
IGH,G61898.GTEX-12ZZY-1526.2,Esophagus - Muscularis,Esophagus,14.5,1.0
IGH,G39648.GTEX-UJHI-1026-SM-4IHJP.2,Stomach,Stomach,16.25,1.0
IGH,G34392.GTEX-XPVG-0008-SM-4GICH.2,Cells - Transformed fibroblasts,Skin,17.0,1.0
IGH,G33798.GTEX-PX3G-0726-SM-48TZT.3,Esophagus - Muscularis,Esophagus,14.724137931,1.0
IGH,G35226.GTEX-T8EM-1226-SM-4DM5J.1,Stomach,Stomach,15.6275902901,1.0
IGH,G35179.GTEX-T2IS-0926-SM-4DM5B.1,Esophagus - Muscularis,Esophagus,14.1666666667,1.0
IGH,G62435.GTEX-13JVG-1326.2,Heart - Left Ventricle,Heart,15.8,1.0
IGH,G64103.GTEX-PWCY-2026.1,Muscle - Skeletal,Muscle,nan,nan
IGH,G34002.GTEX-S4UY-0726-SM-4AD6X.3,Breast - Mammary Tissue,Breast,15.3719211823,1.0
IGH,G32785.GTEX-X62O-1626-SM-46MW9.2,Artery - Tibial,Blood Vessel,14.3333333333,1.0
IGH,G62716.GTEX-145LS-0226.2,Adipose - Subcutaneous,Adipose Tissue,15.5769230769,1.0
IGH,G62017.GTEX-13FHP-0011-R5b.2,Brain - Caudate (basal ganglia),Brain,15.5,1.0
IGH,G41563.GTEX-WXYG-0826.1,Pancreas,Pancreas,15.303030303,1.0
IGH,G48913.GTEX-ZF29-1226.1,Esophagus - Muscularis,Esophagus,15.375,1.0
IGH,G33977.GTEX-S33H-1826-SM-4AD65.3,Prostate,Prostate,15.3823529412,1.0
IGH,G63180.GTEX-13X6I-0011-R8a.2,Brain - Hypothalamus,Brain,14.2,1.0
IGH,G65676.GTEX-148VJ-0426.2,Artery - Tibial,Blood Vessel,16.0460526316,1.0
IGH,G65133.GTEX-13RTJ-0626.2,Artery - Coronary,Blood Vessel,17.0,1.0
IGH,G64425.GTEX-14C5O-1726.1,Esophagus - Muscularis,Esophagus,15.8461538462,1.0
IGH,G42484.GTEX-QLQ7-0426.2,Artery - Aorta,Blood Vessel,16.2522522523,1.0
IGH,G25099.GTEX-N7MS-1126-SM-3LK5E.1,Esophagus - Muscularis,Esophagus,nan,nan
IGH,G62153.GTEX-13OW5-2626.2,Colon - Transverse,Colon,15.1456548348,1.0
IGH,G45204.GTEX-W5WG-0826.2,Pancreas,Pancreas,15.8260869565,1.0
IGH,G33934.GTEX-PWN1-0626-SM-48TDT.1,Esophagus - Mucosa,Esophagus,16.0105263158,1.0
IGH,G61919.GTEX-1313W-3126.2,Brain - Cortex,Brain,nan,nan
IGH,G18697.GTEX-QDVJ-0005-SM-2TC5X.2,Whole Blood,Blood,14.6163934426,1.0
IGH,G35299.GTEX-U3ZN-0126-SM-4DXUM.8,Spleen,Spleen,15.5069750367,1.0
IGH,G16816.GTEX-OIZF-0006.3,Whole Blood,Blood,nan,nan
IGH,G18487.GTEX-PSDG-0626-SM-2S1OE.1,Nerve - Tibial,Nerve,14.6,1.0
IGH,G26579.GTEX-WYJK-1726-SM-3NM9U.1,Muscle - Skeletal,Muscle,17.0,1.0
IGH,G34442.GTEX-XUJ4-0008-SM-4BOQI.7,Cells - Transformed fibroblasts,Skin,16.0,1.0
IGH,G23462.GTEX-WEY5-0226-SM-3GIKN.1,Heart - Atrial Appendage,Heart,12.8333333333,1.0
IGH,G65250.GTEX-14BIM-0011-R3b.2,Brain - Anterior cingulate cortex (BA24),Brain,17.0,1.0
IGH,G64422.GTEX-14C5O-2826.1,Prostate,Prostate,17.2941176471,1.0
IGH,G25879.GTEX-OOBJ-3026-SM-3NB1D.2,Artery - Coronary,Blood Vessel,15.3231292517,1.0
IGH,G42487.GTEX-QLQ7-1326.3,Prostate,Prostate,16.5525606469,1.0
IGH,G64266.GTEX-13PVR-2326.1,Skin - Sun Exposed (Lower leg),Skin,16.5,1.0
IGH,G58462.GTEX-12696-0326.2,Thyroid,Thyroid,16.9166666667,1.0
IGH,G65586.GTEX-11WQK-0008.3,Cells - Transformed fibroblasts,Skin,15.0,1.0
IGH,G19470.GTEX-P44H-0526-SM-2XCF1.2,Nerve - Tibial,Nerve,17.0,1.0
IGH,G64378.GTEX-Y5V5-0326.1,Thyroid,Thyroid,16.2777777778,1.0
IGH,G65564.GTEX-RVPV-1726.3,Lung,Lung,15.92039801,1.0
IGH,G64037.GTEX-14AS3-0326.1,Pancreas,Pancreas,15.123853211,1.0
IGH,G41176.GTEX-WHWD-1226.4,Colon - Transverse,Colon,15.8162438337,1.0
IGH,G33604.GTEX-R55E-0008-SM-48FCG.4,Cells - Transformed fibroblasts,Skin,15.0,1.0
IGH,G61171.GTEX-Y8E4-1326.3,Pancreas,Pancreas,15.8115942029,1.0
IGH,G62152.GTEX-13OW5-0126.2,Skin - Sun Exposed (Lower leg),Skin,13.5,1.0
IGH,G46752.GTEX-XK95-2726.1,Testis,Testis,16.0,1.0
IGH,G25656.GTEX-WL46-0011-R10A-SM-3MJFQ.1,Brain - Frontal Cortex (BA9),Brain,13.0,1.0
IGH,G59585.GTEX-111YS-0526.3,Artery - Aorta,Blood Vessel,16.68,1.0
IGH,G62544.GTEX-14A6H-0006.2,Whole Blood,Blood,15.2929475588,1.0
IGH,G46545.GTEX-Y114-1126.2,Esophagus - Gastroesophageal Junction,Esophagus,17.4,1.0
IGH,G42260.GTEX-X15G-1026.4,Esophagus - Gastroesophageal Junction,Esophagus,14.2222222222,1.0
IGH,G63905.GTEX-11P82-1926.2,Nerve - Tibial,Nerve,15.0384615385,1.0
IGH,G59669.GTEX-111CU-1826.3,Adipose - Subcutaneous,Adipose Tissue,14.1818181818,2.0
IGH,G59529.GTEX-11TT1-0726.2,Stomach,Stomach,15.8520900322,1.0
IGH,G64035.GTEX-13RTK-0626.1,Esophagus - Muscularis,Esophagus,16.8,1.0
IGH,G62647.GTEX-11LCK-0005.2,Whole Blood,Blood,15.6764705882,1.0
IGH,G21088.GTEX-TKQ2-1026-SM-33HB7.1,Artery - Tibial,Blood Vessel,17.1,1.0
IGH,G62068.GTEX-PVOW-0426.2,Heart - Left Ventricle,Heart,nan,nan
IGH,G62299.GTEX-11EQ8-2826.2,Brain - Cerebellum,Brain,16.1666666667,1.0
